"lat","lon","elevation_m","in_camp","unix_time","distance_from_camp_m"
-3.575118,35.123402,1056,1,1520741140,54.8557
-3.575124789,35.12338842,1056,1,1520741145,56.2129
-3.575148538,35.12335371,1056,1,1520741150,59.677
-3.575153489,35.12334026,1056,1,1520741155,61.1063
-3.575150321,35.12336036,1059,1,1520741160,58.9206
-3.575142542,35.12338242,1063,1,1520741165,56.5872
-3.575140799,35.12338678,1066,1,1520741170,56.1319
-3.575132417,35.12340178,1067,1,1520741175,54.6134
-3.57511966,35.12342725,1068,1,1520741180,52.0642
-3.575115653,35.12345279,1068,1,1520741185,49.3677
-3.575115653,35.12345782,1068,1,1520741190,48.8209
-3.57511909,35.12345145,1069,1,1520741195,49.4367
-3.575150829,35.12339314,1071,1,1520741200,55.2935
-3.575167084,35.12336297,1073,1,1520741205,58.4596
-3.575168325,35.12335976,1075,1,1520741210,58.8059
-3.575169448,35.12335665,1076,1,1520741215,59.1406
-3.575170437,35.12335397,1077,1,1520741220,59.4302
-3.575171309,35.12335126,1078,1,1520741225,59.7247
-3.575171996,35.12334891,1078,1,1520741230,59.9798
-3.575172583,35.1233472,1079,1,1520741235,60.1652
-3.575173119,35.12334589,1079,1,1520741240,60.3064
-3.575173622,35.12334482,1079,1,1520741245,60.4219
-3.575174075,35.12334386,1079,1,1520741250,60.5248
-3.575174444,35.12334294,1079,1,1520741255,60.6245
-3.575174787,35.12334215,1079,1,1520741260,60.7096
-3.575175131,35.12334147,1079,1,1520741265,60.7836
-3.575175388,35.12334095,1079,1,1520741270,60.839
-3.575175517,35.12334064,1079,1,1520741275,60.8722
-3.575175634,35.12334033,1079,1,1520741280,60.9068
-3.575175869,35.12334043,1079,1,1520741285,60.8941
-3.57517607,35.12334056,1080,1,1520741290,60.8779
-3.575176372,35.12334053,1080,1,1520741295,60.8798
-3.575176573,35.12334029,1080,1,1520741300,60.9045
-3.575176874,35.12333981,1080,1,1520741305,60.9566
-3.575177042,35.12333942,1080,1,1520741310,60.9983
-3.575177176,35.12333915,1080,1,1520741315,61.0273
-3.57517721,35.12333883,1080,1,1520741320,61.0624
-3.575177361,35.12333857,1080,1,1520741325,61.0912
-3.575177444,35.12333826,1080,1,1520741330,61.1242
-3.575177528,35.12333806,1080,1,1520741335,61.146
-3.575177646,35.12333773,1080,1,1520741340,61.1825
-3.57517788,35.12333741,1080,1,1520741345,61.2164
-3.575178031,35.12333716,1080,1,1520741350,61.2435
-3.575178098,35.12333696,1080,1,1520741355,61.2654
-3.575178115,35.12333699,1080,1,1520741360,61.2616
-3.575178216,35.12333716,1080,1,1520741365,61.2424
-3.575178366,35.12333727,1080,1,1520741370,61.2284
-3.57517845,35.12333719,1080,1,1520741375,61.2373
